Class,Support,Precision,Recall,F1,Errors
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5355,0.9998131888660564,0.9994397759103641,0.999626447515876,3
Tomato___Tomato_mosaic_virus,373,0.9973262032085561,1.0,0.998661311914324,0
Tomato___healthy,1591,0.9981143934632307,0.9981143934632307,0.9981143934632307,3
Tomato___Spider_mites Two-spotted_spider_mite,1675,0.9952067106051528,0.9916417910447761,0.993421052631579,14
Tomato___Septoria_leaf_spot,460,0.9829059829059829,1.0,0.9913793103448275,0
Tomato___Target_Spot,1403,0.9914407988587732,0.9907341411261582,0.9910873440285206,13
